political_party,tweet_text,reply
VVD,"Wij accepteren niet dat vrouwen en mannen onderdrukt worden door religie en cultuurdwang. Gedwongen huwelijken en eerwraak horen niet thuis in Nederland.

Tweede Kamerlid @BenteBecker komt met duidelijke voorstellen. 👇https://t.co/hEV6fwF9Up",True
VVD,"We staan hier niet voor de gezelligheid, maar om Nederlanders veilig te houden. Daar hoort bij dat we alles op alles zetten om IS-terroristen buiten te houden. https://t.co/suf7tG6QGi",True
VVD,Minister Bruno Bruins snapt niks van farmaceuten die  woekerprijzen voor medicijnen vragen. Daarom knokt hij samen met andere landen voor betere prijzen van medicijnen. 💪 https://t.co/FiauLf46wJ,True
VVD,Vandaag is het #DagvandeOndernemer! Honderden VVD'ers gaan langs bij verschillende ondernemers om ze in het zonnetje te zetten ☀️. https://t.co/BA8mLPnhk3,True
VVD,"RT @dijkhoff: Vandaag is de #DagVanDeOndernemer.

Dus bloemen voor Hans, eigenaar van Bier Lokaal en brouwer van Witte Anker. Daarna bier v…",True
VVD,"RT @vanwijngaardenj: Ondernemers zorgen voor werk, inkomen en...lekkere koffie👍🏻. Voor de #DagvandeOndernemer hebben we namens @vvd daarom…",True
VVD,"RT @Antoinettelaan: Met tassen vol gebak langs bij de ondernemers in Rotterdam-Kralingen. Duizendmaal dank voor al het harde werk, niet all…",True
VVD,RT @ArneWeverling: Met bestuur van @mkbwestland op bezoek bij Bakkerij van Delft in De Lier. 5e generatie bakkers sinds 1870. Wat een gedre…,True
VVD,"Het is vandaag de #dagvandeondernemer! Zij werken elke dag keihard om ons land beter te maken. En daarom verdienen zij alle aandacht. Hoe? 👇
https://t.co/TEmcjeOlM0 https://t.co/ebISIODxpG",True
VVD,🎥 Kijk LIVE mee naar Mark Rutte in gesprek over stikstof in Deurne! https://t.co/3K0ySFIp93,True
PvdA,RT @kirstenvdhul: Weer geen akkoord aan de CAO tafel. En een minister die denkt dat we er wel zijn met incidenteel geld. Maar het #lerarent…,True
